match_id,minute,text,team,scorer,assist
760415,9',"Goal! Mexico 1, South Africa 0. Julián Quiñones (Mexico) right footed shot from the centre of the box to the centre of the goal. Assisted by Érik Lira.",Mexico,Julián Quiñones,Érik Lira
760415,67',"Goal! Mexico 2, South Africa 0. Raúl Jiménez (Mexico) header from very close range to the bottom left corner. Assisted by Roberto Alvarado with a cross.",Mexico,Raúl Jiménez,Roberto Alvarado
760414,59',"Goal! Korea Republic 0, Czechia 1. Ladislav Krejcí (Czechia) header from very close range to the bottom right corner. Assisted by Vladimír Coufal.",Czechia,Ladislav Krejcí,Vladimír Coufal
760414,67',"Goal! Korea Republic 1, Czechia 1. Hwang In-Beom (Korea Republic) right footed shot from the centre of the box to the bottom right corner. Assisted by Lee Kang-In.",South Korea,Hwang In-Beom,Lee Kang-In
760414,80',"Goal! Korea Republic 2, Czechia 1. Oh Hyeon-Gyu (Korea Republic) left footed shot from very close range to the bottom left corner. Assisted by Hwang In-Beom.",South Korea,Oh Hyeon-Gyu,Hwang In-Beom
760416,21',"Goal! Canada 0, Bosnia and Herzegovina 1. Jovo Lukic (Bosnia and Herzegovina) header from very close range to the centre of the goal. Assisted by Sead Kolasinac with a headed pass following a corner.",Bosnia-Herzegovina,Jovo Lukic,Sead Kolasinac
760416,78',"Goal! Canada 1, Bosnia and Herzegovina 1. Cyle Larin (Canada) right footed shot from the centre of the box to the bottom right corner. Assisted by Promise David.",Canada,Cyle Larin,Promise David
760417,7',"Own Goal by Damián Bobadilla, Paraguay. USA 1, Paraguay 0.",United States,Damián Bobadilla (OG),None
760417,31',"Goal! USA 2, Paraguay 0. Folarin Balogun (USA) right footed shot from the centre of the box to the bottom right corner. Assisted by Christian Pulisic.",United States,Folarin Balogun,Christian Pulisic
760417,45'+5',"Goal! USA 3, Paraguay 0. Folarin Balogun (USA) left footed shot from the centre of the box to the top left corner. Assisted by Malik Tillman.",United States,Folarin Balogun,Malik Tillman
760417,73',"Goal! USA 3, Paraguay 1. Mauricio (Paraguay) left footed shot from the centre of the box to the bottom right corner. Assisted by Julio Enciso following a set piece situation.",Paraguay,Mauricio,Julio Enciso
760417,90'+8',"Goal! USA 4, Paraguay 1. Giovanni Reyna (USA) right footed shot from the centre of the box to the bottom left corner. Assisted by Alex Freeman.",United States,Giovanni Reyna,Alex Freeman
760420,17',"Goal! Qatar 0, Switzerland 1. Breel Embolo (Switzerland) converts the penalty with a right footed shot to the bottom left corner.",Switzerland,Breel Embolo,None
760420,90'+4',"Own Goal by Miro Muheim, Switzerland. Qatar 1, Switzerland 1.",Qatar,Miro Muheim (OG),None
760419,21',"Goal! Brazil 0, Morocco 1. Ismael Saibari (Morocco) right footed shot from outside the box to the centre of the goal. Assisted by Brahim Díaz with a through ball following a fast break.",Morocco,Ismael Saibari,Brahim Díaz
