team,Possession,SHOTS,ON_GOAL,Fouls,Corner_Kicks,Accurate_Passes,Passes,Pass_Completion
Australia,28.4,9,4,12,5,201,271,0.7
Belgium,53.6,15,3,15,2,389,453,0.9
Bosnia-Herzegovina,38.9,8,3,20,4,172,271,0.6
Brazil,51.4,12,5,16,6,449,514,0.9
Canada,61.1,13,4,10,9,310,421,0.7
Cape Verde,25.7,6,1,1,1,205,278,0.7
Curacao,35.4,8,2,11,1,282,343,0.8
Czechia,38.5,7,4,16,5,230,327,0.7
Ecuador,51.6,12,1,13,6,419,492,0.9
Egypt,46.4,14,3,15,7,323,397,0.8
Germany,64.6,26,12,18,8,554,637,0.9
Haiti,53.7,15,2,23,4,367,431,0.9
Ivory Coast,48.4,15,4,10,3,397,470,0.8
Japan,40.2,10,3,7,4,286,341,0.8
Mexico,60.5,16,4,12,3,467,520,0.9
Morocco,48.6,14,3,14,2,419,486,0.9
Netherlands,59.8,10,6,7,5,463,524,0.9
Paraguay,34.7,9,1,17,1,232,319,0.7
Qatar,32.0,6,3,12,3,200,278,0.7
Scotland,46.3,9,2,21,3,307,374,0.8
South Africa,39.5,3,2,11,1,272,334,0.8
South Korea,61.5,15,6,9,4,469,541,0.9
Spain,74.3,27,7,10,11,734,800,0.9
Sweden,48.7,13,7,10,4,278,356,0.8
Switzerland,68.0,26,7,11,10,527,576,0.9
Tunisia,51.3,6,2,8,2,292,371,0.8
Turkey,71.6,30,8,4,8,635,704,0.9
United States,65.3,16,6,13,3,509,598,0.9
