match_id,minute,text,team,card_type
760415,17',Teboho Mokoena (South Africa) is shown the yellow card for a bad foul.,South Africa,Yellow
760415,23',Brian Gutiérrez (Mexico) is shown the yellow card for a bad foul.,Mexico,Yellow
760415,74',Nkosinathi Sibisi (South Africa) is shown the yellow card for a bad foul.,South Africa,Yellow
760414,90'+6',Lee Gi-Hyuk (Korea Republic) is shown the yellow card for a bad foul.,South Korea,Yellow
760416,11',Alistair Johnston (Canada) is shown the yellow card for a bad foul.,Canada,Yellow
760416,45',Ermedin Demirovic (Bosnia and Herzegovina) is shown the yellow card for a bad foul.,Bosnia-Herzegovina,Yellow
760416,45'+1',Jovo Lukic (Bosnia and Herzegovina) is shown the yellow card for a bad foul.,Bosnia-Herzegovina,Yellow
760416,53',Luc De Fougerolles (Canada) is shown the yellow card for a bad foul.,Canada,Yellow
760416,90'+3',Nikola Katic (Bosnia and Herzegovina) is shown the yellow card for a bad foul.,Bosnia-Herzegovina,Yellow
760417,10',Juan José Cáceres (Paraguay) is shown the yellow card for a bad foul.,Paraguay,Yellow
760417,53',Miguel Almirón (Paraguay) is shown the yellow card.,Paraguay,Yellow
760417,59',Tyler Adams (USA) is shown the yellow card for a bad foul.,United States,Yellow
760417,79',Diego Gómez (Paraguay) is shown the yellow card for a bad foul.,Paraguay,Yellow
760417,88',Álex Arce (Paraguay) is shown the yellow card for a bad foul.,Paraguay,Yellow
760417,90'+3',Júnior Alonso (Paraguay) is shown the yellow card for a bad foul.,Paraguay,Yellow
760420,16',Mahmoud Abunada (Qatar) is shown the yellow card.,Qatar,Yellow
760420,23',Jassem Gaber (Qatar) is shown the yellow card for a bad foul.,Qatar,Yellow
760420,42',Denis Zakaria (Switzerland) is shown the yellow card for a bad foul.,Switzerland,Yellow
760419,37',Casemiro (Brazil) is shown the yellow card for a bad foul.,Brazil,Yellow
760419,43',Roger Ibañez (Brazil) is shown the yellow card for a bad foul.,Brazil,Yellow
760418,39',Jean-Ricner Bellegarde (Haiti) is shown the yellow card for a bad foul.,Haiti,Yellow
760418,46',Aaron Hickey (Scotland) is shown the yellow card for a bad foul.,Scotland,Yellow
760418,90'+1',Findlay Curtis (Scotland) is shown the yellow card for a bad foul.,Scotland,Yellow
760418,90'+5',Kenny McLean (Scotland) is shown the yellow card for a bad foul.,Scotland,Yellow
760421,86',Yunus Akgün (Türkiye) is shown the yellow card for a bad foul.,Turkey,Yellow
760425,61',Crysencio Summerville (Netherlands) is shown the yellow card for a bad foul.,Netherlands,Yellow
760425,83',Memphis Depay (Netherlands) is shown the yellow card for a bad foul.,Netherlands,Yellow
760425,90'+1',Micky van de Ven (Netherlands) is shown the yellow card for a bad foul.,Netherlands,Yellow
760423,28',Seko Fofana (Côte d'Ivoire) is shown the yellow card for a bad foul.,Ivory Coast,Yellow
760423,38',Franck Kessie (Côte d'Ivoire) is shown the yellow card for a bad foul.,Ivory Coast,Yellow
760423,40',Guéla Doué (Côte d'Ivoire) is shown the yellow card for a bad foul.,Ivory Coast,Yellow
760423,73',Jackson Porozo (Ecuador) is shown the yellow card for a bad foul.,Ecuador,Yellow
760424,54',Rani Khedira (Tunisia) is shown the yellow card for a bad foul.,Tunisia,Yellow
760428,16',Sidny Cabral (Cabo Verde) is shown the yellow card for a bad foul.,Cape Verde,Yellow
760428,90'+3',Pedri (Spain) is shown the yellow card for a bad foul.,Spain,Yellow
760426,13',Marwan Attia (Egypt) is shown the yellow card for a bad foul.,Egypt,Yellow
760426,14',Timothy Castagne (Belgium) is shown the yellow card for a bad foul.,Belgium,Yellow
760426,34',Ahmed Fatouh (Egypt) is shown the yellow card for a bad foul.,Egypt,Yellow
760426,75',Maxim De Cuyper (Belgium) is shown the yellow card for a bad foul.,Belgium,Yellow
